title, statement, issue, date, link
 President Donald J Trump Approves Louisiana Emergency Declaration, Statements & Releases, None,                 Jun 7  2020, https://www.whitehouse.gov/briefings-statements/president-donald-j-trump-approves-louisiana-emergency-declaration-5/
Presidential Message on National Cancer Survivors Day  2020, Statements & Releases, None,                 Jun 7  2020, https://www.whitehouse.gov/briefings-statements/presidential-message-national-cancer-survivors-day-2020/
Remarks By President Trump At Puritan Medical Products, Remarks, None,                 Jun 5  2020, https://www.whitehouse.gov/briefings-statements/remarks-president-trump-puritan-medical-products/
Remarks By President Trump In A Roundtable On Supporting America’s Commercial Fishermen, Statements & Releases, None,                 Jun 5  2020, https://www.whitehouse.gov/briefings-statements/remarks-president-trump-roundtable-supporting-americas-commercial-fishermen/
Statement by the President, Statements & Releases, None,                 Jun 5  2020, https://www.whitehouse.gov/briefings-statements/statement-by-the-president-40/
Proclamation on Modifying The Northeast Canyons And Seamounts Marine National Monument, Proclamations, None,                 Jun 5  2020, https://www.whitehouse.gov/presidential-actions/proclamation-modifying-northeast-canyons-seamounts-marine-national-monument/
President Donald J Trump Announces Appointments for the Executive Office of the President, Nominations & Appointments, None,                 Jun 5  2020, https://www.whitehouse.gov/presidential-actions/president-donald-j-trump-announces-appointments-executive-office-president-8/
Presidential Determination Pursuant to Section 1245(d)(4)(B) and (C) of the National Defense Authorization Act for Fiscal Year 2012, Presidential Memoranda, None,                 Jun 5  2020, https://www.whitehouse.gov/presidential-actions/presidential-determination-pursuant-section-1245d4b-c-national-defense-authorization-act-fiscal-year-2012-2/
Remarks by Vice President Pence in Listening Session with Faith and Community Leaders | Beltsville  MD, Remarks, None,                 Jun 5  2020, https://www.whitehouse.gov/briefings-statements/remarks-vice-president-pence-listening-session-faith-community-leaders-beltsville-md/
Bill Announcement, Statements & Releases, None,                 Jun 5  2020, https://www.whitehouse.gov/briefings-statements/bill-announcement-98/
Trouncing Expectations by 10 Million Jobs  the Labor Market’s Comeback Has Begun, Economy & Jobs, None,                 Jun 5  2020, https://www.whitehouse.gov/articles/trouncing-expectations-10-million-jobs-labor-markets-comeback-begun/
Readout from the First Lady’s Zoom Meeting with Experts on Social Emotional Learning, Statements & Releases, None,                 Jun 4  2020, https://www.whitehouse.gov/briefings-statements/readout-first-ladys-zoom-meeting-experts-social-emotional-learning/
Statement from the Press Secretary Commemorating the 31st Anniversary of the Tiananmen Square Massacre, Statements & Releases, None,                 Jun 4  2020, https://www.whitehouse.gov/briefings-statements/statement-press-secretary-commemorating-31st-anniversary-tiananmen-square-massacre/
Memorandum on Protecting United States Investors from Significant Risks from Chinese Companies, Presidential Memoranda, None,                 Jun 4  2020, https://www.whitehouse.gov/presidential-actions/memorandum-protecting-united-states-investors-significant-risks-chinese-companies/
EO on Accelerating the Nation’s Economic Recovery from the COVID-19 Emergency by Expediting Infrastructure Investments and Other Activities, Executive Orders, None,                 Jun 4  2020, https://www.whitehouse.gov/presidential-actions/eo-accelerating-nations-economic-recovery-covid-19-emergency-expediting-infrastructure-investments-activities/
President Donald J Trump Announces Intent to Appoint Individuals to Key Administration Posts, Nominations & Appointments, None,                 Jun 4  2020, https://www.whitehouse.gov/presidential-actions/president-donald-j-trump-announces-intent-appoint-individuals-key-administration-posts-13/
Readout from the Vice President’s Governors Briefing on COVID-19 Response & Recovery, Statements & Releases, None,                 Jun 3  2020, https://www.whitehouse.gov/briefings-statements/readout-vice-presidents-governors-briefing-covid-19-response-recovery/
Press Briefing by Press Secretary Kayleigh McEnany, Press Briefings, None,                 Jun 3  2020, https://www.whitehouse.gov/briefings-statements/press-briefing-press-secretary-kayleigh-mcenany-060320/
Readout from the First Lady’s Briefing on Youth Hurricane Preparedness, Statements & Releases, None,                 Jun 3  2020, https://www.whitehouse.gov/briefings-statements/readout-first-ladys-briefing-youth-hurricane-preparedness/
Memorandum on Governors’ Use of the National Guard to Respond to COVID-19 and to Facilitate Economic Recovery, Presidential Memoranda, None,                 Jun 2  2020, https://www.whitehouse.gov/presidential-actions/memorandum-governors-use-national-guard-respond-covid-19-facilitate-economic-recovery/
Executive Order on Advancing International Religious Freedom, Executive Orders, None,                 Jun 2  2020, https://www.whitehouse.gov/presidential-actions/executive-order-advancing-international-religious-freedom/
Ten Nominations and One Withdrawal Sent to the Senate, Nominations & Appointments, None,                 Jun 2  2020, https://www.whitehouse.gov/presidential-actions/ten-nominations-one-withdrawal-sent-senate-2/
Statement by the President, Remarks, None,                 Jun 1  2020, https://www.whitehouse.gov/briefings-statements/statement-by-the-president-39/
Press Briefing by Press Secretary Kayleigh McEnany, Press Briefings, None,                 Jun 1  2020, https://www.whitehouse.gov/briefings-statements/press-briefing-press-secretary-kayleigh-mcenany-060120/
Presidential Message on Global Coptic Day  2020, Statements & Releases, None,                 Jun 1  2020, https://www.whitehouse.gov/briefings-statements/presidential-message-global-coptic-day-2020/
Joint Statement From the United States of America and the Federative Republic of Brazil Regarding Health Cooperation, Statements & Releases, None,                 May 31  2020, https://www.whitehouse.gov/briefings-statements/joint-statement-united-states-america-federative-republic-brazil-regarding-health-cooperation/
